ID;Island_name;CountryISO;Longitude_centroid;Latitude_centroid;Area;Current_isolation;Past_isolation;Climate_velocity;Temperature_mean;Temperature_sd;Precipitation_mean;Precipitation_sd;Elevation_sd;Richness_mammal;Richness_bat;Richness_nonVol;SIE_mammal;SIE_bats;SIE_nonVol;pSIE_mammal;pSIE_bats;pSIE_nonVol;bioregion;bioregion_SIE
1;Aruba;ABW;-69.97;12.51;181.94;-0.73;0;3.30;27.36;1.74;401.58;45.06;40.27;4;3;1;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
3;Ilha da Baia dos Tigres;AGO;11.70;-16.60;88.57;-1.20;0;6.88;24.24;1.38;30.70;1.81;2.22;1;1;0;0;0;0;0.00;0.00;0.00;Afrotropical;Ori+Ocea+Mad+Afro+Sah
17;Ilha da Cazanga;AGO;13.12;-8.93;6.38;-1.36;0;10.48;25.30;0.00;377.29;5.31;0.53;2;2;0;0;0;0;0.00;0.00;0.00;Afrotropical;Ori+Ocea+Mad+Afro+Sah
23;Ilha de Luanda;AGO;13.25;-8.78;1.63;-1.47;0;10.48;25.43;0.47;391.00;2.94;0.00;1;1;0;0;0;0;0.00;0.00;0.00;Afrotropical;Ori+Ocea+Mad+Afro+Sah
34;Anguilla;AIA;-63.05;18.21;74.93;-0.35;1;5.13;26.72;0.88;1139.84;49.13;0.45;5;5;0;0;0;0;0.00;0.00;0.00;Panamanian;Panam+Neotrop
552;Ostersocknen;ALA;20.56;60.03;21.14;-1.29;0;119.15;6.30;0.13;535.12;3.68;3.48;6;0;6;0;0;0;0.00;0.00;0.00;Paleartic;Pale+Nea+Eur+SinJ
726;Kumlinge;ALA;20.79;60.26;23.04;-1.36;0;96.43;6.13;0.47;550.72;8.78;2.55;6;0;6;0;0;0;0.00;0.00;0.00;Paleartic;Pale+Nea+Eur+SinJ
744;Eckero;ALA;19.59;60.22;89.30;-1.34;0;66.14;6.26;0.52;531.32;13.02;6.83;7;0;7;0;0;0;0.00;0.00;0.00;Eurasia;Pale+Nea+Eur+SinJ
961;Kokar;ALA;20.93;59.93;35.88;-1.32;0;117.18;6.32;0.40;537.67;10.28;7.95;6;0;6;0;0;0;0.00;0.00;0.00;Paleartic;Pale+Nea+Eur+SinJ
986;Fliso;ALA;20.37;59.99;29.95;-1.28;0;131.38;6.33;0.44;530.08;5.55;5.03;7;0;7;0;0;0;0.00;0.00;0.00;Paleartic;Pale+Nea+Eur+SinJ
1014;Al Yasat as Sufla;ARE;51.99;24.18;5.30;-1.72;0;17.70;28.18;0.37;63.67;0.47;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1022;Al Yasat al `Ulya;ARE;52.01;24.23;9.85;-1.69;0;18.10;28.10;0.00;64.08;0.28;4.55;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1024;Salahah;ARE;53.54;24.19;1.38;-1.62;0;19.52;28.20;0.00;59.00;0.00;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1026;Jananah;ARE;53.41;24.21;12.59;-1.60;0;19.52;28.10;0.00;59.43;1.05;6.49;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1040;NA;ARE;51.55;24.41;4.76;-1.80;0;18.10;28.15;0.50;66.50;0.87;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1052;Sir Bani Yas;ARE;52.60;24.32;70.53;-1.52;0;8.67;27.80;1.80;65.70;6.08;39.87;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1054;Al Bazm al Gharbi;ARE;53.09;24.33;5.25;-1.50;0;19.52;27.90;0.00;62.75;0.43;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1055;Al Fiyay;ARE;53.20;24.30;5.66;-1.53;0;19.52;27.99;0.33;62.00;0.00;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1056;Jazirat Marawwah;ARE;53.29;24.29;34.71;-1.54;0;19.00;28.00;0.00;62.06;1.10;6.94;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1061;Al Futaysi;ARE;54.32;24.36;35.22;-1.66;0;19.30;28.47;0.46;57.63;0.72;8.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1075;Al Hudayriyat;ARE;54.36;24.42;17.66;-1.64;0;20.00;28.43;0.47;58.92;0.86;4.24;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1076;Umm an Nar;ARE;54.51;24.44;14.17;-1.67;0;20.00;28.58;0.37;61.00;0.00;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1084;Dalma;ARE;52.31;24.50;36.57;-1.48;0;9.29;27.61;1.47;69.90;5.96;35.83;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1087;Jazirat as Sammaliyah;ARE;54.53;24.46;14.02;-1.67;0;20.00;28.58;0.38;61.29;0.46;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1088;Jazirat Umm Yafinah;ARE;54.46;24.47;10.79;-1.64;0;20.00;28.50;0.00;61.00;0.00;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1098;Jazirat as Sa`diyat;ARE;54.44;24.53;26.32;-1.60;0;19.14;28.41;0.35;62.41;1.66;5.65;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1099;Jazirat Ramhan;ARE;54.52;24.54;9.70;-1.63;0;20.24;28.50;0.00;64.50;0.87;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1101;Al Qaffay;ARE;51.72;24.59;5.70;-1.67;0;18.10;27.90;0.00;67.80;0.40;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1104;Jazirat Bil Ghaylam;ARE;54.55;24.57;8.35;-1.63;0;20.00;28.50;0.00;65.00;0.00;0.44;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1111;Qarnayn;ARE;52.85;24.93;2.15;-1.20;0;19.05;27.35;0.50;77.50;0.50;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1113;Zirkuh;ARE;53.07;24.88;7.47;-1.22;0;14.57;27.16;1.87;81.25;6.08;66.83;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1124;Das;ARE;52.88;25.15;3.00;-1.18;0;19.05;27.24;0.49;84.29;1.03;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1136;Jazirat Ra's Ghurab;ARE;54.54;24.62;9.58;-1.60;0;20.00;28.42;0.42;66.69;0.46;3.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1138;Arzanah;ARE;52.56;24.79;4.57;-1.25;0;19.05;27.38;0.75;75.20;2.23;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1145;Jazirat al Ghallah;ARE;55.58;25.55;5.60;-1.54;0;20.95;28.60;0.00;127.50;0.50;0.00;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1197;Sir Bu Nu`ayr;ARE;54.22;25.23;14.34;-1.22;0;15.11;27.56;1.01;93.89;4.91;6.60;2;1;1;0;0;0;0.00;0.00;0.00;Saharo-Arabian;Ori+Ocea+Mad+Afro+Sah
1397;Isla Tovita;ARG;-65.95;-45.11;2.09;-1.00;0;17.86;12.87;0.47;283.33;3.30;0.70;7;0;7;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1398;Isla Tova;ARG;-66.00;-45.10;6.90;-1.02;0;10.04;12.91;0.94;294.80;7.26;0.47;7;0;7;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1455;Isla Valdes;ARG;-65.71;-45.06;1.11;-0.96;0;10.16;12.75;0.50;299.50;5.50;15.43;6;0;6;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1456;Isla Leones;ARG;-65.60;-45.05;5.79;-0.92;0;13.68;12.67;0.90;298.20;11.54;1.52;6;0;6;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1485;Isla Ariadna;ARG;-62.01;-39.25;15.78;-1.40;0;9.29;15.40;0.00;522.79;3.10;1.50;5;0;5;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1491;Isla Wood;ARG;-62.11;-39.23;31.46;-1.44;0;7.73;15.40;0.00;525.27;5.69;2.00;5;0;5;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1496;Isla Trinidad;ARG;-61.96;-39.14;212.03;-1.43;0;8.37;15.37;0.46;541.94;6.79;1.80;6;0;6;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1549;Isla Bermejo;ARG;-62.03;-39.03;78.41;-1.51;0;9.22;15.40;0.00;565.58;4.15;1.12;7;1;6;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1555;NA;ARG;-62.13;-38.97;14.80;-1.57;0;8.07;15.40;0.00;573.26;4.18;0.47;6;1;5;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1598;Isla Gama;ARG;-62.18;-40.49;57.56;-1.14;0;7.34;14.90;0.00;433.50;3.10;8.11;7;0;7;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1610;Isla Flamenco;ARG;-62.17;-40.41;30.14;-1.16;0;7.59;14.91;0.34;439.48;2.68;0.00;7;0;7;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1640;Isla de los Cesares;ARG;-62.32;-40.28;103.79;-1.26;0;7.08;15.02;0.39;433.37;3.65;3.29;9;1;8;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
1666;NA;ARG;-62.12;-40.18;12.70;-1.19;0;8.57;15.07;0.45;448.33;1.73;8.50;6;0;6;0;0;0;0.00;0.00;0.00;Neotropical;Panam+Neotrop
