Species,Endemicity
Chiroderma salvini,Continental
Chaerephon aloysiisabaudiae,Continental
Chaerephon ansorgei,Continental
Chaerephon bemmeleni,Continental
Chaerephon bivittatus,Continental
Chaerephon chapini,Continental
Chaerephon gallagheri,Continental
Chaerephon nigeriae,Continental
Chaerephon major,Continental
Chaerephon russatus,Continental
Chalinolobus dwyeri,Continental
Chalinolobus picatus,Continental
Chiroderma doriae,Continental
Choeroniscus godmani,Continental
Choeroniscus periosus,Continental
Choeronycteris mexicana,Continental
Chrotopterus auritus,Continental
Pipistrellus hesperus,Continental
Craseonycteris thonglongyai,Continental
Plerotes anchietae,Continental
Cyttarops alecto,Continental
Diclidurus isabella,Continental
Diclidurus scutatus,Continental
Diclidurus ingens,Continental
Diphylla ecaudata,Continental
Ectophylla alba,Continental
Epomophorus minimus,Continental
Murina aurata,Continental
Epomophorus angolensis,Continental
Epomophorus grandis,Continental
Epomophorus gambianus,Continental
Epomops buettikoferi,Continental
Epomops dobsonii,Continental
Epomops franqueti,Continental
Eptesicus andinus,Continental
Vespadelus baverstocki,Continental
Eptesicus bobrinskoi,Continental
Eptesicus brasiliensis,Continental
Eptesicus dimissus,Continental
Vespadelus douglasorum,Continental
Eptesicus floweri,Continental
Eptesicus furinalis,Continental
Eptesicus hottentotus,Continental
Eptesicus pachyotis,Continental
Vespadelus pumilus,Continental
Eptesicus tatei,Continental
Euderma maculatum,Continental
Eudiscopus denticulus,Continental
Eumops dabbenei,Continental
Eumops hansae,Continental
Eumops maurus,Continental
Eumops underwoodi,Continental
Glossophaga commissarisi,Continental
Glossophaga leachii,Continental
Glossophaga morenoi,Continental
Hipposideros abae,Continental
Hipposideros beatus,Continental
Hipposideros camerunensis,Continental
Hipposideros fuliginosus,Continental
Hipposideros halophyllus,Continental
Hipposideros hypophyllus,Continental
Hipposideros durgadasi,Continental
Hipposideros jonesi,Continental
Hipposideros lamottei,Continental
Hipposideros lylei,Continental
Hipposideros nequam,Continental
Hipposideros marisae,Continental
Hipposideros megalotis,Continental
Hylonycteris underwoodi,Continental
Ia io,Continental
Idionycteris phyllotis,Continental
Kerivoula africana,Continental
Kerivoula argentata,Continental
Kerivoula cuprosa,Continental
Kerivoula eriophora,Continental
Kerivoula lanosa,Continental
Kerivoula phalaena,Continental
Kerivoula smithii,Continental
Laephotis angolensis,Continental
Laephotis wintoni,Continental
Laephotis botswanae,Continental
Laephotis namibensis,Continental
Lasiurus castaneus,Continental
Lasiurus egregius,Continental
Lasiurus seminolus,Continental
Latidens salimalii,Continental
Lavia frons,Continental
Leptonycteris nivalis,Continental
Lichonycteris obscura,Continental
Lionycteris spurrelli,Continental
Lonchophylla dekeyseri,Continental
Lonchophylla handleyi,Continental
Lonchophylla mordax,Continental
Lonchophylla robusta,Continental
Lonchophylla thomasi,Continental
Lonchorhina orinocensis,Continental
Austronomus australis,Continental
Lonchophylla bokermanni,Continental
Lonchophylla hesperia,Continental
Lonchorhina fernandezi,Continental
Lonchorhina marinkellei,Continental
Macrotus californicus,Continental
Macrophyllum macrophyllum,Continental
Micropteropus intermedius,Continental
Micropteropus pusillus,Continental
Glyphonycteris behnii,Continental
Glyphonycteris daviesi,Continental
Neonycteris pusilla,Continental
Mimon bennettii,Continental
Cynomops abrasus,Continental
Molossops aequatorianus,Continental
Molossops mattogrossensis,Continental
Molossops neglectus,Continental
Cynomops planirostris,Continental
Molossops temminckii,Continental
Molossus rufus,Continental
Molossus pretiosus,Continental
Mops congicus,Continental
Mops demonstrator,Continental
Mops nanulus,Continental
Mops niangarae,Continental
Mops niveiventer,Continental
Mops petersoni,Continental
Mops trevori,Continental
Mormopterus kalinowskii,Continental
Mormopterus phrudus,Continental
Harpiola grisea,Continental
Murina fusca,Continental
Myonycteris relicta,Continental
Murina huttoni,Continental
Murina tubinaris,Continental
Myopterus daubentonii,Continental
Myopterus whitleyi,Continental
Eptesicus diminutus,Continental
Myotis aelleni,Continental
Myotis elegans,Continental
Myotis levis,Continental
Platyrrhinus aurarius,Continental
Musonycteris harrisoni,Continental
Myotis grisescens,Continental
Myotis sodalis,Continental
Myotis albescens,Continental
Myotis annectans,Continental
Myotis atacamensis,Continental
Myotis auriculus,Continental
Myotis austroriparius,Continental
Myotis bocagii,Continental
Myotis ciliolabrum,Continental
Myotis cobanensis,Continental
Myotis californicus,Continental
Myotis chiloensis,Continental
Myotis fortidens,Continental
Myotis fimbriatus,Continental
Myotis leibii,Continental
Myotis longipes,Continental
Myotis morrisi,Continental
Myotis nigricans,Continental
Myotis oxyotus,Continental
Myotis peninsularis,Continental
Myotis pequinius,Continental
Myotis planiceps,Continental
Myotis riparius,Continental
Myotis rosseti,Continental
Myotis ruber,Continental
Myotis simus,Continental
Myotis schaubi,Continental
Myotis velifer,Continental
Myotis scotti,Continental
Myotis sicarius,Continental
Myotis thysanodes,Continental
Myotis tricolor,Continental
Myotis volans,Continental
Myotis welwitschii,Continental
Myotis yumanensis,Continental
Nanonycteris veldkampii,Continental
Noctilio albiventris,Continental
Nycteris woodi,Continental
Nycteris aurita,Continental
Nycteris gambiensis,Continental
Nyctalus montanus,Continental
Nycteris intermedia,Continental
Nycteris major,Continental
Nycteris nana,Continental
Scotorepens balstoni,Continental
Nyctinomops aurispinosus,Continental
Nyctinomops femorosaccus,Continental
Nyctophilus walkeri,Continental
Otomops wroughtoni,Continental
Otomops martiensseni,Continental
Otonycteris hemprichii,Continental
Peropteryx leucoptera,Continental
Phylloderma stenops,Continental
Phyllostomus elongatus,Continental
Phyllostomus latifolius,Continental
Hypsugo joffrei,Continental
Hypsugo lophurus,Continental
Pipistrellus aero,Continental
Pipistrellus arabicus,Continental
Pipistrellus cadornae,Continental
Hypsugo anthonyi,Continental
Pipistrellus inexspectatus,Continental
Falsistrellus mackenziei,Continental
Pipistrellus paterculus,Continental
Pipistrellus subflavus,Continental
Pipistrellus rusticus,Continental
Platalina genovensium,Continental
Platyrrhinus lineatus,Continental
Platyrrhinus brachycephalus,Continental
Platyrrhinus chocoensis,Continental
Platyrrhinus infuscus,Continental
Platyrrhinus recifinus,Continental
Platyrrhinus vittatus,Continental
Corynorhinus townsendii,Continental
Corynorhinus rafinesquii,Continental
Pteronotus gymnonotus,Continental
Pteropus lylei,Continental
Pygoderma bilabiatum,Continental
Rhinolophus adami,Continental
Rhinolophus bocharicus,Continental
Rhinolophus darlingi,Continental
Rhinolophus denti,Continental
Rhinolophus guineensis,Continental
Rhinolophus fumigatus,Continental
Rhinolophus marshalli,Continental
Rhinolophus mitratus,Continental
Rhinolophus osgoodi,Continental
Rhinolophus paradoxolophus,Continental
Rhinolophus rex,Continental
Rhinolophus silvestris,Continental
Rhinolophus subbadius,Continental
Rhinolophus thomasi,Continental
Sturnira mordax,Continental
Rhogeessa alleni,Continental
Rhinophylla alethina,Continental
Rhinophylla fischerae,Continental
Rhinophylla pumilio,Continental
Rhogeessa genowaysi,Continental
Rhinopoma muscatellum,Continental
Rhogeessa gracilis,Continental
Rhogeessa mira,Continental
Rhogeessa parvula,Continental
Rhogeessa tumida,Continental
Rousettus lanosus,Continental
Saccopteryx gymnura,Continental
Sphaeronycteris toxophyllum,Continental
Scleronycteris ega,Continental
Scotoecus albofuscus,Continental
Scotoecus hirundo,Continental
Scotoecus pallidus,Continental
Scotonycteris ophiodon,Continental
Scotophilus leucogaster,Continental
Scotophilus nigrita,Continental
Sturnira luisi,Continental
Sturnira magna,Continental
Sturnira aratathomasi,Continental
Sturnira bidens,Continental
Sturnira bogotensis,Continental
Sturnira erythromos,Continental
Sturnira nana,Continental
Tadarida lobata,Continental
Tadarida ventralis,Continental
Taphozous hilli,Continental
Taphozous kapalgensis,Continental
Taphozous hamiltoni,Continental
Taphozous troughtoni,Continental
Thyroptera discifera,Continental
Thyroptera lavali,Continental
Thyroptera tricolor,Continental
Tonatia bidens,Continental
Lophostoma evotis,Continental
Tomopeas ravus,Continental
Lophostoma schulzi,Continental
Uroderma magnirostrum,Continental
Vampyressa melissa,Continental
Vampyriscus nymphaea,Continental
Vampyressa pusilla,Continental
Vampyriscus bidens,Continental
Vampyriscus brocki,Continental
Myotis csorbai,Continental
Histiotus humboldti,Continental
Lasiurus atratus,Continental
Lonchorhina inusitata,Continental
